University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Website,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Carleton,740,361,ON,Ottawa,Physics,Physics,PhD,https://physics.carleton.ca/future-students/graduate/funding-and-awards,7428,2043.42,9471.42,19590,2799.42,22389.42,,Yes,Does not specify,36000,26528.58,,,,,,,1,1.5,3,0,Posted tuition amounts include ancillary fees,https://carleton.ca/studentaccounts/tuition-fees/,https://physics.carleton.ca/future-students/graduate/funding-and-awards,24408,"Ottawa, On",27966.6864,2058,24696,-1438.1064,1832.58,-10167.42,-14356.1064,-11085.42,-23085.42
Concordia,799,143,QC,Montreal,Physics,Department of Physics,MSc,https://www.concordia.ca/artsci/physics.html,3241.0125,2189.35,5430.3625,22637.925,2189.35,24827.275,,Yes,,10000,4569.6375,,,,,2024-07-17,2024-2025,1,1,0,0,"Full time is based on 11.25 credits per term = 33.75 credits per year. ""
Each student on average receives $22,000 in annual support. Additional merit-based awards are available in limited numbers.


Support will be provided to most admitted international students to maintain tuition expenses at the level of Quebec residents.""",,https://www.concordia.ca/artsci/physics/programs/graduate/physics-msc.html,20753,Montreal,23778.7874,1769,21228,-19209.1499,-16658.3625,-28658.3625,-38606.0624,-36055.275,-48055.275
Concordia,799,143,QC,Montreal,Biological Sciences - Ecology,Department of Biology ,MSc,https://www.concordia.ca/artsci/biology/programs/graduate/phd-biology.html,3241.0125,2189.35,7350,22637.925,2189.35,24827.275,,Yes,2,15000,7650,,,,,2024-06-06,2024-2025,1,1,3,0,"Full time is based on 11.25 credits per term = 33.75 credits per year. ""
Each student on average receives $22,000 in annual support. Additional merit-based awards are available in limited numbers.


Support will be provided to most admitted international students to maintain tuition expenses at the level of Quebec residents.""",,https://www.concordia.ca/content/dam/artsci/biology/docs/BIOLGradprogramguiderevised2024_inprogressMICHELLEApril2024_Changes_Accepted.pdf,20753,Montreal,23778.7874,1769,21228,-16128.7874,-13578,-25578,-33606.0624,-31055.275,-43055.275
Concordia,799,143,QC,Montreal,Physics,Department of Physics,PhD,,3146.85,2189.35,5336.2,20320.425,2189.35,22509.775,,Yes,,14000,8663.8,,,,,2024-07-17,2024-2025,1,1,0,0,"Full time is based on 11.25 credits per term = 33.75 credits per year. ""
Each student on average receives $22,000 in annual support. Additional merit-based awards are available in limited numbers.


Support will be provided to most admitted international students to maintain tuition expenses at the level of Quebec residents.""",,https://www.concordia.ca/artsci/physics/programs/graduate/physics-msc.html,20753,Montreal,23778.7874,1769,21228,-15114.9874,-12564.2,-24564.2,-32288.5624,-29737.775,-41737.775
Concordia,799,143,QC,Montreal,Biological Sciences - Ecology,Department of Biology ,PhD,,3146.85,2189.35,5200,20320.425,2189.35,24827.275,,Yes,3,15000,9800,,,,,2024-06-06,2024-2025,1,1,3,0,"Full time is based on 11.25 credits per term = 33.75 credits per year. ""
Each student on average receives $22,000 in annual support. Additional merit-based awards are available in limited numbers.


Support will be provided to most admitted international students to maintain tuition expenses at the level of Quebec residents.""",,https://www.concordia.ca/content/dam/artsci/biology/docs/BIOLGradprogramguiderevised2024_inprogressMICHELLEApril2024_Changes_Accepted.pdf,20753,Montreal,23778.7874,1769,21228,-13978.7874,-11428,-23428,-33606.0624,-31055.275,-43055.275
Dalhousie,825,681,NS,Halifax,Biological Sciences - Ecology,Department of Biology ,MSc,https://www.dal.ca/faculty/science/biology/graduate.html,10651,2101.68,12752.68,18264.8,2857.42,21122.22,,Yes,2.33,33552.68,20800,41166.48,20800,0,,2024-07-17,2023/2024,0,0,0,0,"""Our minimum stipends are take-home net of international fees (noting that these apply to MSc students but not PhD students)"" - from email correspondence. ""Contact the graduate secretary for details the current level of stipend."" Tuition drop-down in FAQ doesn't work (https://www.dal.ca/faculty/science/biology/graduate/graduate-program-faqs.html) ",https://cdn.dal.ca/content/dam/dalhousie/pdf/admissions/MoneyMatters/Grad%202023-2024.pdf,NA - says to contact secretary to obtain,23264,"Halifax, NS",26655.8912,1909,22908,-5855.8912,-2108,-14108,-5855.8912,-2108,-14108
Dalhousie,825,681,NS,Halifax,Biological Sciences - Ecology,Department of Biology ,PhD,,7053,2101.68,9154.68,7053,2857.42,9910.42,,Yes,4.5,29954.68,20800,29954.68,20800,0,,2024-07-17,2023/2024,0,0,0,0,"""Contact the graduate secretary for details the current level of stipend."" Tuition drop-down in FAQ doesn't work (https://www.dal.ca/faculty/science/biology/graduate/graduate-program-faqs.html) ",https://cdn.dal.ca/content/dam/dalhousie/pdf/admissions/MoneyMatters/Grad%202023-2024.pdf,NA - says to contact secretary to obtain,23264,"Halifax, NS",26655.8912,1909,22908,-5855.8912,-2108,-14108,-5855.8912,-2108,-14108
Guelph,912,445,ON,Guelph,Biological Sciences - Ecology,Department of Integrative Biology,MSc,https://www.uoguelph.ca/ib/grad_program_overview,7132.59,2060.8,9193.39,20512.62,2816.8,23329.42,,Yes,2,21460,12266.61,21460,-1869.42,140,,2024-02-16,2022,2,1.5,2,2,,https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27%21A1&action=embedview,https://www.uoguelph.ca/cbs/graduate/how-fund-your-studies,22170,"Guelph Ont, 135,474 population",25402.386,2036,24432,-13135.776,-12165.39,-24165.39,-27271.806,-26301.42,-38301.42
Guelph,912,445,ON,Guelph,Biological Sciences - Ecology,Department of Integrative Biology,PhD,https://www.uoguelph.ca/ib/grad_program_overview,6992.07,2060.8,9052.87,19680.81,2816.8,22497.61,,Yes,4,25460,16407.13,37960,15462.39,140,,2024-02-16,2022,2,1.5,2,2,,https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27%21A1&action=embedview,https://www.uoguelph.ca/cbs/graduate/how-fund-your-studies,22170,"Guelph Ont, 135,474 population",25402.386,2036,24432,-8995.256,-8024.87,-20024.87,-9939.996,-8969.61,-20969.61
Guelph,912,445,ON,Guelph,Physics,Physics,MSc,https://www.physics.uoguelph.ca/,7132.59,2060.8,9193.39,20512.62,2816.8,23329.42,,Yes,2,28376.92,19183.53,41756.95,18427.53,140,,,,1,2,,,,https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27%21A1&action=embedview,,22170,"Guelph Ont, 135,474 population",25402.386,2036,24432,-6218.856,-5248.47,-17248.47,-6974.856,-6004.47,-18004.47
Guelph,912,445,ON,Guelph,Physics,Physics,PhD,https://www.physics.uoguelph.ca/,6992.07,2060.8,9052.87,19680.81,2816.8,22497.61,,Yes,4,30601.92,21549.05,43290.66,20793.05,140,,,,1,2,,,,https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27%21A1&action=embedview,,22170,"Guelph Ont, 135,474 population",25402.386,2036,24432,-3853.336,-2882.95,-14882.95,-4609.336,-3638.95,-15638.95
Manitoba,959,936,MB,Winnipeg,Biological Sciences - Ecology,Department of Biological Sciences,MSc,https://umanitoba.ca/explore/programs-of-study/biological-sciences-msc,6459.88,1673.37,8133.25,13548.24,3049.37,16597.61,,Yes,2,17000,8866.75,17000,402.39,0,,2024-07-16,,,,,,,,,22714,Winnipeg,26025.7012,1232,14784,-17158.9512,-5917.25,-17917.25,-25623.3112,-14381.61,-26381.61
Manitoba,959,936,MB,Winnipeg,Biological Sciences - Ecology,Department of Biological Sciences,PhD,https://umanitoba.ca/explore/programs-of-study/biological-sciences-phd,6459.88,1673.37,8133.25,6459.88,3049.37,9509.25,,Yes,4,21000,12866.75,21000,11490.75,0,,2024-07-16,,,,,,,,,22714,Winnipeg,26025.7012,1232,14784,-13158.9512,-1917.25,-13917.25,-14534.9512,-3293.25,-15293.25
Manitoba,959,936,MB,Winnipeg,Physics,Physics & Astronomy,MSc,https://umanitoba.ca/explore/programs-of-study/physics-msc,6459.88,1673.37,8133.25,13548.24,3049.37,16597.61,,Yes,,22650,14516.75,22650,6052.39,0,,2024-03-28,2023/2024,0,0.5,1,1,,https://umanitoba.ca/registrar/tuition-fees/graduate,https://umanitoba.ca/science/student-experience/financial-aid-awards/physics-and-astronomy,22714,Winnipeg,26025.7012,1232,14784,-11508.9512,-267.25,-12267.25,-19973.3112,-8731.61,-20731.61
Manitoba,959,936,MB,Winnipeg,Physics,Physics & Astronomy,PhD,https://umanitoba.ca/explore/programs-of-study/physics-phd,6459.88,1673.37,8133.25,6459.88,3049.37,9509.25,,Yes,,24000,15866.75,24000,14490.75,0,,2024-03-28,2023/2024,0,0.5,1,1,,https://umanitoba.ca/registrar/tuition-fees/graduate,https://umanitoba.ca/science/student-experience/financial-aid-awards/physics-and-astronomy,22714,Winnipeg,26025.7012,1232,14784,-10158.9512,1082.75,-10917.25,-11534.9512,-293.25,-12293.25
McGill,1676,1822,QC,Montreal,Physics,Department of Physics,MSc,https://www.physics.mcgill.ca/grads/finance.html,2880.9,2330.62,5211.52,19728,2840,22568,,Yes,,25500,20288.48,42347.1,19779.1,,,2024-05-03,2023-2024,2,2,3,2,"TA total: 5945 (AF edit: This was done incorrectly. The page says that 2880.90 is the tuition after department subsidies, so it must be higher than that. I have/am revising this so that it's correct. It only impacts the OOP MSc and International MSc PhD tuitions. They have equalized the tuitions so all students, regardless of origin, pay same amount)",https://www.mcgill.ca/student-accounts/tuition-charges/fallwinter-term-tuition-and-fees/graduate-fees,https://www.physics.mcgill.ca/grads/finance.html,20753,Montreal,23778.7874,1769,21228,-3490.3074,-939.52,-12939.52,-3999.6874,-1448.9,-13448.9
McGill,1676,1822,QC,Montreal,Physics,Department of Physics,PhD,https://www.physics.mcgill.ca/grads/finance.html,2880.9,2330.62,5211.52,17708.4,2840,20548.4,,Yes,,25500,20288.48,40327.5,19779.1,,,2024-05-03,2023-2024,2,2,3,2,,https://www.mcgill.ca/student-accounts/tuition-charges/fallwinter-term-tuition-and-fees/graduate-fees,https://www.physics.mcgill.ca/grads/finance.html,20753,Montreal,23778.7874,1769,21228,-3490.3074,-939.52,-12939.52,-3999.6874,-1448.9,-13448.9
McGill,1676,1822,QC,Montreal,Biological Sciences - Ecology,Department of Biology,MSc,https://www.mcgill.ca/biology/graduate-studies/current-graduate-students-0/graduate-funding-0,2880.9,2330.62,5211.52,19728,2840,22568,Full,Yes,2,25709.52,20498,,20498,180/yr,,2024-06-06,2024-2025,1,2,3,3,"Tuition will be reimbursed: ""You will receive a subsidy to cover the cost of tuition and fees which you must pay to the University each term. This subsidy is paid by your supervisor and/or by awards that you receive. International students may additionally receive a Differential Fee Waiver (DFW) from GPS or an international student tuition relief award from the Department to offset your higher tuition cost.""",https://www.mcgill.ca/student-accounts/tuition-charges/fallwinter-term-tuition-and-fees/graduate-fees,https://www.mcgill.ca/biology/graduate-0/current-graduate-students-0/graduate-funding-0,20753,Montreal,23778.7874,1769,21228,-3280.7874,-730,-12730,-3280.7874,-730,-12730
McGill,1676,1822,QC,Montreal,Biological Sciences - Ecology,Department of Biology,PhD,https://www.mcgill.ca/biology/graduate-studies/current-graduate-students-0/graduate-funding-0,2880.9,2330.62,5211.52,17708.4,2840,20548.4,Full,Yes,4-5,27274.52,22063,,22063,180/yr,,2024-06-06,2024-2025,1,2,3,3,AF: Updated with most recent numbers,https://www.mcgill.ca/student-accounts/tuition-charges/fallwinter-term-tuition-and-fees/graduate-fees,https://www.mcgill.ca/biology/graduate-0/current-graduate-students-0/graduate-funding-0,20753,Montreal,23778.7874,1769,21228,-1715.7874,835,-11165,-1715.7874,835,-11165
McMaster,1256,909,ON,Hamilton,Biological Sciences - Ecology,Department of Biology,MSc,https://gs.mcmaster.ca/program/biology/,6307.2,1090.66,7397.86,17096.22,1846.66,18942.88,,Yes,2,27339,19941.14,,,,,,,1,1,2,1,"Somewhat unclear on if TAs are required or not. There's discussion of ""If a teaching assistantship is not available, the student may be supported by other sources depending on the availability of funds."" this seems to imply that a TA is required and if not given to student they might not meet a minimum? ",https://registrar.mcmaster.ca/fees/graduate/#tab-00,https://biology.mcmaster.ca/graduate/grad-guide/,22472,Hamilton,25748.4176,1901,22812,-5807.2776,-2870.86,-14870.86,,,
McMaster,1256,909,ON,Hamilton,Physics,Physics and Astronomy,MSc,https://physics.mcmaster.ca/,6307.2,1090.66,7397.86,17096.22,1846.66,18942.88,,Yes,2,29172.32,21774.46,,,260 a year,,2024-07-16,,,,,,Department has sometimes managed to increase by $500-1000. Website currently being updated to be more transparent,,https://mcmasteru365.sharepoint.com/sites/sci-public-docs/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Fsci-public-docs%2FShared+Documents%2FWebsite+-+Department+Of+Physics+%26+Astronomy%2FGraduate%2F24-25_graduate_handbook.pdf&parent=%2Fsites%2Fsci-public-docs%2FShared+Documents%2FWebsite+-+Department+Of+Physics+%26+Astronomy%2FGraduate&p=true&ga=1,22472,Hamilton,25748.4176,1901,22812,-3973.9576,-1037.54,-13037.54,,,
McMaster,1256,909,ON,Hamilton,Physics,Physics and Astronomy,PhD,https://physics.mcmaster.ca/,6307.2,1090.66,7397.86,6307.2,1846.66,8153.86,,Yes,4,29172.32,21774.46,29172.32,21018.46,260 a year,,2024-07-16,,,,,,,,https://mcmasteru365.sharepoint.com/sites/sci-public-docs/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Fsci-public-docs%2FShared+Documents%2FWebsite+-+Department+Of+Physics+%26+Astronomy%2FGraduate%2F24-25_graduate_handbook.pdf&parent=%2Fsites%2Fsci-public-docs%2FShared+Documents%2FWebsite+-+Department+Of+Physics+%26+Astronomy%2FGraduate&p=true&ga=1,22472,Hamilton,25748.4176,1901,22812,-3973.9576,-1037.54,-13037.54,-4729.9576,-1793.54,-13793.54
McMaster,1256,909,ON,Hamilton,Biological Sciences - Ecology,Department of Biology,PhD,https://gs.mcmaster.ca/program/biology/,6307.2,1090.66,7397.86,6307.2,1846.66,8153.86,,Yes,4,30327,22929.14,,,,,,,1,1,2,1,,https://registrar.mcmaster.ca/fees/graduate/#tab-00,https://biology.mcmaster.ca/graduate/grad-guide/,22472,Hamilton,25748.4176,1901,22812,-2819.2776,117.14,-11882.86,,,
Memorial,661,159,NL,St. John's,Biological Sciences - Ecology,Department of Biology,MSc,https://www.mun.ca/become/graduate/programs-and-courses/biology/,2859,1907.31,4766.31,4833,2168.9,7001.9,,Yes,2,17500,12733.69,17500,10498.1,,,2024-06-05,2023/2024,1,1,1,1,,https://www.mun.ca/become/graduate/programs-and-courses/biology/,,21477,"St. Johns, NL ",24608.3466,,,-11874.6566,,,-14110.2466,,
Memorial,661,159,NL,St. John's,Biological Sciences - Ecology,Department of Biology,PhD,https://www.mun.ca/become/graduate/programs-and-courses/biology/,2664,1907.31,4571.31,4497,2168.9,6665.9,,Yes,4,19000,14428.69,19000,12334.1,,,2024-06-05,2023/2024,1,1,1,1,,https://www.mun.ca/become/graduate/programs-and-courses/biology/,,21477,"St. Johns, NL ",24608.3466,,,-10179.6566,,,-12274.2466,,
Memorial,661,159,NL,St. John's,Physics,Physics and Physical Oceanography,MSc,https://www.mun.ca/physics/,2859,1907.31,4766.31,4833,2168.9,7001.9,,Yes,2,20466,15699.69,20866,13864.1,?,,2024-03-28,2023/2024,1,1,3,1,,https://www.mun.ca/finance/graduate-student-tuition-and-fees/,https://www.mun.ca/physics/graduate-students/information-for-prospective-graduate-students/,21477,"St. Johns, NL ",24608.3466,,,-8908.6566,,,-10744.2466,,
Memorial,661,159,NL,St. John's,Physics,Physics and Physical Oceanography,PhD,https://www.mun.ca/physics/,2664,1907.31,4571.31,4497,2168.9,6665.9,,Yes,4,22066,17494.69,22066,15400.1,?,,2024-03-28,2023/2024,1,1,3,1,,https://www.mun.ca/undergrad/money-matters/,https://www.mun.ca/physics/graduate-students/information-for-prospective-graduate-students/,21477,"St. Johns, NL ",24608.3466,,,-7113.6566,,,-9208.2466,,
New Brunswick,354,238,NB,Fredericton,Physics,Department of Physics,MSc,,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,2,16000,6430.5,,,,,2024-03-28,Not specified,1,1.5,3,0,,https://www.unb.ca/finance/_assets/documents/financial-services/new/fred_gr_research_ft_new.pdf,https://www.unb.ca/fredericton/science/depts/physics/graduate/funding.html,22606,"Fredericton, NB",25901.9548,,,-19471.4548,,,-26460.0548,,
New Brunswick,354,238,NB,Fredericton,Physics,Department of Physics,PhD,,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,4,17000,7430.5,,,,,2024-03-28,Not specified,1,1.5,3,0,,https://www.unb.ca/finance/_assets/documents/financial-services/new/fred_gr_research_ft_new.pdf,https://www.unb.ca/fredericton/science/depts/physics/graduate/funding.html,22606,"Fredericton, NB",25901.9548,,,-18471.4548,,,-25460.0548,,
New Brunswick,354,238,NB,Fredericton,Biological Sciences - Ecology,Department of Biology,MSc,https://www.unb.ca/fredericton/science/depts/biology/graduate/index.html,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,2,23069.5,13500,,,2 units,,2024-04-29,2024/24,1,1.5,3,0,"Funding is ""subject to availability"", so maybe not actually guaranteed. Howeer, the assistance is the base amount of $13500 plus tuition and incidental fees, reflected in the formula in this row. Tuition posted is for 2024-25 academic year, so I have emailed to request 2023-24 data. ",https://www.unb.ca/finance/financial-services/graduate/index.html,https://www.unb.ca/fredericton/science/depts/biology/graduate/index.html,22606,"Fredericton, NB",25901.9548,,,-12401.9548,,,-19390.5548,,
New Brunswick,354,238,NB,Fredericton,Biological Sciences - Ecology,Department of Biology,PhD,https://www.unb.ca/fredericton/science/depts/biology/graduate/index.html,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,4,23069.5,13500,,,2 units,,2024-04-29,2024/25,1,1.5,3,0,,https://www.unb.ca/finance/financial-services/graduate/index.html,https://www.unb.ca/fredericton/science/depts/biology/graduate/index.html,22606,"Fredericton, NB",25901.9548,,,-12401.9548,,,-19390.5548,,
Ontario Tech University,231,26,ON,Oshawa,Physics,Physics     Material Science is joint with Trent University - See Trent,MSc,https://science.ontariotechu.ca/physics/index.php,7579.3,2223.18,9802.48,20124.3,2979.18,23103.48,,Yes,,16000,6197.52,,,,,,,0,1.5,1,0,,https://gradstudies.ontariotechu.ca/current_students/tuition-fees/domestic-tuition-fees/index.php,https://gradstudies.ontariotechu.ca/current_students/student_finances/graduate_funding/index.php,22170,Oshawa Ont 170071 pop,25402.386,1860,22320,-19204.866,-16122.48,-28122.48,-32505.866,-29423.48,-41423.48
Ontario Tech University,231,26,ON,Oshawa,Physics,Physics     Material Science is joint with Trent University - See Trent,PhD,https://science.ontariotechu.ca/physics/index.php,7579.3,2223.18,9802.48,19166,2979.18,22145.18,,Yes,,18000,8197.52,,,,,,,0,1.5,1,0,,https://gradstudies.ontariotechu.ca/current_students/tuition-fees/domestic-tuition-fees/index.php,https://gradstudies.ontariotechu.ca/current_students/student_finances/graduate_funding/index.php,22170,Oshawa Ont 170071 pop,25402.386,1860,22320,-17204.866,-14122.48,-26122.48,-29547.566,-26465.18,-38465.18
Ottawa,1379,334,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,MSc,,7370.13,1934.86,9304.99,29162.67,2690.86,31853.53,,Yes,2,22672,13367.01,,,65-90.5,,2024-03-01,2023-20234,0,0,1,0,"Very complex set of fee and tuition structures, which change depending on how long you've been around. I, for consistency, stuck with what it would be if you were just starting with a full-time program. Even better, you have to add up the ancillary fees yourself. Stipend does require TAing at least 1 per term. Hours depend on if it's demonstration (65) or grading (90.5) or a combination (in between)",https://www.uottawa.ca/study/fees-financial-support/university-fees/tuition-canadians-ontario,https://science.uottawa.ca/biology/sites/science.uottawa.ca.biology/files/biogradguidebook-en.pdf,24408,Ottawa,27966.6864,2058,24696,-14599.6764,-11328.99,-23328.99,-37148.2164,-33877.53,-45877.53
Ottawa,1379,334,ON,Ottawa,Physics,Department of Physics,MSc,https://physics.carleton.ca/future-students/graduate,7370.13,1934.86,9304.99,29162.67,2690.86,31853.53,,Yes,2,22876,13571.01,22876,-8977.53,,,2024-03-01,2023-20234,,,,,"Took a long time to find stipend information, but I think i got caught in a loop on the faculty's page about the department, rather than the department page.",https://www.uottawa.ca/study/fees-financial-support/university-fees/tuition-canadians-ontario,,24408,Ottawa,27966.6864,2058,24696,-14395.6764,-11124.99,-23124.99,-36944.2164,-33673.53,-45673.53
Ottawa,1379,334,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,PhD,,6366.6,1934.86,8301.46,17477.55,2690.86,20168.41,"3,000 / term",Yes,4,22672,14370.54,,,65-90.5,,2024-03-01,2023-20234,0,0,1,0,There is an international PhD support of $3k/term that just started in 2023. They do describe it as a 'non-guaranteed' funding,,,24408,Ottawa,27966.6864,2058,24696,-13596.1464,-10325.46,-22325.46,-16463.0964,-13192.41,-25192.41
Ottawa,1379,334,ON,Ottawa,Physics,Department of Physics,PhD,,6366.6,1934.86,8301.46,17477.55,2690.86,20168.41,"3,000 / term",Yes,5,25676,17374.54,25676,14507.59,,,2024-03-01,2023-20234,,,,,,,,24408,Ottawa,27966.6864,2058,24696,-10592.1464,-7321.46,-19321.46,-13459.0964,-10188.41,-22188.41
Queen's,1110,1448,ON,Kingston,Biological Sciences - Ecology,Biology Department,MSc,https://biology.queensu.ca/,5772.99,1482.8,7255.79,12927.45,2238.8,15166.25,,Yes,2,24300,17044.21,,,,,,2022-2023,1,1.5,2,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://biology.queensu.ca/current-students/graduate-students/fees-and-funding-0,22170,"Kingston, Ont 136685 pop",25402.386,1767,21204,-8358.176,-4159.79,-16159.79,-16268.636,-12070.25,-24070.25
Queen's,1110,1448,ON,Kingston,Biological Sciences - Ecology,Biology Department,PhD,https://biology.queensu.ca/,5772.99,1482.8,7255.79,5772.99,2238.8,8011.79,,Yes,4,26300,19044.21,,,,,,2022-2023,1,1.5,2,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://biology.queensu.ca/current-students/graduate-students/fees-and-funding-0,22170,"Kingston, Ont 136685 pop",25402.386,1767,21204,-6358.176,-2159.79,-14159.79,-7114.176,-2915.79,-14915.79
Queen's,1110,1448,ON,Kingston,Physics,"Physics, Engineering Physics & Astronomy",MSc,https://www.queensu.ca/physics/,5772.99,1482.8,7255.79,12927.45,2238.8,15166.25,,Yes,2,26642,19386.21,,,,,,,1,1.5,3,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://www.queensu.ca/physics/grad-studies/msc-degree-overview,22170,"Kingston, Ont 136685 pop",25402.386,1767,21204,-6016.176,-1817.79,-13817.79,-13926.636,-9728.25,-21728.25
Queen's,1110,1448,ON,Kingston,Physics,"Physics, Engineering Physics & Astronomy",PhD,https://www.queensu.ca/physics/,5772.99,1482.8,7255.79,5772.99,2238.8,8011.79,,Yes,4,27842,20586.21,,,,,,,1,1.5,3,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://www.queensu.ca/physics/grad-studies/phd-degree-overview,22170,"Kingston, Ont 136685 pop",25402.386,1767,21204,-4816.176,-617.79,-12617.79,-5572.176,-1373.79,-13373.79
Regina,326,60,SK,Regina,Biological Sciences - Ecology,Biology,MSc,https://www.uregina.ca/science/biology/index.html,4916.25,776.25,5692.5,4916.25,4779.75,9696,,Yes,1,,,,,,,2024-07-15,,0,0.5,0,0,,https://www.uregina.ca/fs/assets/docs/pdf/fee-schedules/202330-grad-studies-tuition-schedule.pdf,,23094,Regina,26461.1052,1121,13452,,,,,,
Regina,326,60,SK,Regina,Biological Sciences - Ecology,Biology,PhD,,6374.25,1011.25,7385.5,6374.25,5014.75,11389,,Yes,1,,,,,,,2024-07-15,,0,0.5,0,0,,https://www.uregina.ca/fs/assets/docs/pdf/fee-schedules/202330-grad-studies-tuition-schedule.pdf,,23094,Regina,26461.1052,1121,13452,,,,,,
Regina,326,60,SK,Regina,Physics,Physics,MSc,https://www.uregina.ca/science/physics/,4916.25,776.25,5692.5,4916.25,4779.75,9696,,Yes,,,,,,,,2024-05-06,,0,1,0,0,"Used 2023 fall, 2024 winter, 2024 spring/summer fees. Also used 5 credit hours for MSc, which is the mean number of credits/semester needed to finish in 4 years",https://www.uregina.ca/fs/students/fee-schedule.html,https://www.uregina.ca/science/physics/financial/graduate-finances.html,23094,Regina,26461.1052,1121,13452,,,,,,
Regina,326,60,SK,Regina,Physics,Physics,PhD,,6374.25,1011.25,7385.5,6374.25,5014.75,11389,,Yes,,,,,,,,2024-05-06,,0,1,0,0,"NOTE FOR CALCULATION: International increase is hidden in the fees, not tuition as is typical",,,23094,Regina,26461.1052,1121,13452,,,,,,
Saskatchewan,1122,475,SK,Saskatoon,Physics,Department of Physics and Engineering Physics,MSc,https://artsandscience.usask.ca/physics/index.php,4932,1227.39,6159.39,11097,1227.39,12324.39,,Yes,2,18000,11840.61,,,60,,2024-05-07,"2024-2025 (assumed, stipend from email)",1,1.5,0,0,While there is a link that appears to discuss (Departmental guidelines and Action Plan for devolved scholarship funds) that link is dead.,https://students.usask.ca/money/tuition-fees/graduate-tuition.php,Email,23513,Saskatoon,26941.1954,1055,12660,-15100.5854,-819.39,-12819.39,-21265.5854,-6984.39,-18984.39
Saskatchewan,1122,475,SK,Saskatoon,Physics,Department of Physics and Engineering Physics,PhD,,4932,1227.39,6159.39,4932,1227.39,6159.39,,Yes,4,20000,13840.61,,,60,,,,1,1.5,0,0,"?        Do you offer a guaranteed stipend for graduate students (both master's and PhD)?  PhD students are guaranteed $20k/year and MSc are guaranteed $18k/year.

?         If so, how many years is this stipend guaranteed for? PhD is for 4 years; MSc is for 2 years.

?        What is the minimum value of this stipend (either gross or net of tuition)?  Students receive the full stipend, they pay their own tuition.
 
?        Are students required to TA or RA on non-thesis-related work to attain this minimum level?  Students who receive departmental scholarships as part of the stipend totals are required to do TA work.

?        If TAing or RAing is required, how many hours per year (or week) does this entail?  Dependent on the amount of the scholarship they can be assigned between 30-60 hours per term.

?        Does the department have any initiatives in place to mitigate higher tuition and healthcare costs for international students?  We do not at this time due to limited funding available. Some Professors will give their students an extra stipend payment at the beginning of the term to help with their tuition.  Most students receive more than the required minimum stipend amounts already.
",,,23513,Saskatoon,26941.1954,1055,12660,-13100.5854,1180.61,-10819.39,-13100.5854,1180.61,-10819.39
